Business Name,Address No,Address 1,Address 2,Address 3,Town,County,Country,Postcode,Total Assistance Offered by Invest NI (£),Date Offer Made (Issued Date),Accepted Date,Source of Funding (Scheme),Jobs to be Created (Promoted),Total Investment by Company (Includes Invest NI Assistance) £,Sector,Start Up (Y/N),Conditions of Offer,District Council,No of Employees in Company
26 Extreme Ltd,109,Church Street, , ,Portadown,Co. Armagh,Northern Ireland,BT62 3DB,"2,138",24-Mar-14,3-Jun-14,MIS,0,"4,750",Business Services,N,Innovation and Technical Development,CRAIGAVON,2
2M Associates Limited,91,Main Street, , ,Randalstown,Co. Antrim,Northern Ireland,BT41 3BB,"6,000",16-May-13,5-Jun-13,Growth Accelerator Programme (GAP),0,"16,800",Business Services,Y,Other,ANTRIM,2
2M Associates Limited,91,Main Street, , ,Randalstown,Co. Antrim,Northern Ireland,BT41 3BB,"5,224",8-Oct-13,28-Oct-13,MIS,0,"15,060",Business Services,N,Innovation and Technical Development,ANTRIM,2
2ML Ltd,17,Castle Avenue,Moira, ,Craigavon,Co. Armagh,Northern Ireland,BT67 0NH,"6,500",8-Mar-12,12-Mar-12,MIS,0,"13,000",Creative,N,Innovation and Technical Development,LISBURN,2
2ML Ltd,17,Castle Avenue,Moira, ,Craigavon,Co. Armagh,Northern Ireland,BT67 0NH,"1,195",20-Mar-14,23-Mar-14,Technical Development Incentive (TDI),0,"2,390",Creative,N,Innovation and Technical Development,LISBURN,2
3 Interior Contracts Limited,Unit C6,Knockmore Hill Business Park,9 Ferguson Drive, ,Lisburn,Co. Antrim,Northern Ireland,BT28 2EX,"26,200",28-May-12,19-Jul-12,Growth Accelerator Programme (GAP),2,"65,500",Construction Products,N,Job Creation,LISBURN,7
3 Interior Contracts Limited,Unit C6,Knockmore Hill Business Park,9 Ferguson Drive, ,Lisburn,Co. Antrim,Northern Ireland,BT28 2EX,"30,000",26-Jun-14,27-Jun-14,SFA less than 250k,3,"250,000",Construction Products,N,Job Creation,LISBURN,7
352 Skills I Limited,21,Old Channel Road,Titanic Quarter, ,Belfast,Co. Antrim,Northern Ireland,BT3 9DE,"5,000",19-Apr-12,11-Jun-12,MIS,0,"15,049",Business Services,N,Innovation and Technical Development,BELFAST,2
352 Skills I Limited,21,Old Channel Road,Titanic Quarter, ,Belfast,Co. Antrim,Northern Ireland,BT3 9DE,"25,096",5-Dec-12,20-Feb-13,Growth Accelerator Programme (GAP),6,"62,740",Business Services,Y,Job Creation,BELFAST,2
360 Attachments (UK) Ltd,138,Ballinderry Bridge Road,Ballinderry,Coagh,Cookstown,Co. Tyrone,Northern Ireland,BT80 0AY,"5,000",19-Oct-12,30-Jan-13,Selective Financial Assistance (The Jobs Fund),1,"28,000",Engineering,N,Job Creation,COOKSTOWN,Not Available
360 Attachments (UK) Ltd,138,Ballinderry Bridge Road,Ballinderry,Coagh,Cookstown,Co. Tyrone,Northern Ireland,BT80 0AY,"1,200",22-Oct-12,30-Jan-13,Growth Incentive,0,"3,000",Engineering,N,Other,COOKSTOWN,Not Available
